DepDelay,Origin,Dest,CRSDepTime,Distance,ArrDel15,ArrDelay,DepHour
-12.0,CLE,SEA,1825,2021.0,0.0,1.0,18
1.0,SEA,OMA,730,1368.0,1.0,22.0,7
3.0,MSP,MDW,1405,349.0,0.0,-14.0,14
15.0,BNA,DCA,720,562.0,1.0,28.0,7
0.0,RDU,BWI,700,255.0,0.0,-3.0,7
-18.0,MDW,DEN,2251,895.0,0.0,-39.0,22
-5.0,ATL,IND,1620,432.0,0.0,-7.0,16
-4.0,SAN,DAL,1510,1182.0,0.0,7.0,15
9.0,IAD,PHX,1752,1956.0,0.0,-9.0,17
-7.0,PIA,DFW,1530,672.0,0.0,-14.0,15
84.0,DAL,SAT,1700,247.0,1.0,98.0,17
1.0,OKC,SAT,1030,407.0,0.0,-10.0,10
-3.0,ATL,PHX,1012,1587.0,0.0,1.0,10
19.0,SAN,RDM,1205,823.0,0.0,10.0,12
5.0,PHX,MDW,735,1444.0,0.0,-5.0,7
-2.0,ATL,PBI,1810,545.0,0.0,-5.0,18
12.0,PHX,DFW,2010,868.0,0.0,0.0,20
-1.0,MCI,MIA,518,1251.0,0.0,6.0,5
-5.0,SAN,PHX,1544,304.0,0.0,-13.0,15
1.0,MSY,ATL,1500,425.0,0.0,-12.0,15
59.0,TPA,PHL,1402,920.0,1.0,58.0,14
126.0,STL,DCA,630,719.0,1.0,118.0,6
-5.0,LAX,CLE,800,2052.0,0.0,-39.0,8
1.0,CLT,CVG,2020,335.0,0.0,-1.0,20
1.0,LGA,RIC,1329,292.0,0.0,13.0,13
-4.0,MIA,BDL,1958,1194.0,0.0,-30.0,19
-1.0,BGM,DTW,1650,378.0,0.0,-33.0,16
-1.0,DAL,HOU,1030,239.0,1.0,24.0,10
-1.0,OAK,AUS,515,1497.0,0.0,-9.0,5
39.0,MIA,AUS,1350,1103.0,1.0,65.0,13
-2.0,ATL,PHL,1251,666.0,0.0,-7.0,12
-5.0,RDU,JFK,1010,427.0,0.0,-19.0,10
11.0,ATL,LGA,2015,762.0,0.0,14.0,20
96.0,BOS,SAT,735,1764.0,1.0,93.0,7
-4.0,DCA,MSY,959,969.0,0.0,6.0,9
